key,name,iataCode,website,type,foundationMoment,email,phoneNumber
airline-39,vueling,AMA,http://vueling.com,STANDARD,2012/07/02 0:00,a@b.es,34606987452
airline-40,vueling,ANA,http://vueling.com,STANDARD,2012/07/02 0:00,a@b.esx,34606987452
airline-41,vueling,AOA,http://vueling.com,STANDARD,2012/07/02 0:00,lorem-ipsum@dolor.sit.amet.consectetur.adipiscing.elit.sed.do.eiusmod.tempor.incididunt.ut.labore.et.dolore.magna.aliqua.Ut.enim.ad.minim.veniam.quis.nostrud.exercitation.ullamco.laboris.nisi.ut.aliquip.ex.ea.commodo.consequat.duis.aute.irure.doloris.edu,34606987452
airline-42,vueling,APA,http://vueling.com,STANDARD,2012/07/02 0:00,lorem-ipsum@dolor.sit.amet.consectetur.adipiscing.elit.sed.do.eiusmod.tempor.incididunt.ut.labore.et.dolore.magna.aliqua.Ut.enim.ad.minim.veniam.quis.nostrud.exercitation.ullamco.laboris.nisi.ut.aliquip.ex.ea.commodo.consequat.duis.aute.irure.dolor.es.org,34606987452

#phoneNumber
airline-43,vueling,AQA,http://vueling.com,STANDARD,2012/07/02 0:00,vueling@gmail.com,+341235
airline-44,vueling,ARA,http://vueling.com,STANDARD,2012/07/02 0:00,vueling@gmail.com,+65895689541569
airline-45,vueling,ASA,http://vueling.com,STANDARD,2012/07/02 0:00,vueling@gmail.com,+801254524582122
airline-46,vueling,ATA,http://vueling.com,STANDARD,2012/07/02 0:00,vueling@gmail.com,+3445454545462






