key,name,operationalScope,iataCode,city,country,website,email,contactPhone
airport-24,Aeropuerto Sevilla,INTERNATIONAL,AAV,Sevilla,España,http://example.org/,aesevilla@gmail.com,+34603589521
airport-25,Aeropuerto Sevilla,INTERNATIONAL,AAW,Sevilla,España,http://example.org?a&b,aesevilla@gmail.com,+34603589521
airport-26,Aeropuerto Sevilla,INTERNATIONAL,AAX,Sevilla,España,http://example.org/a,aesevilla@gmail.com,+34603589521
airport-27,Aeropuerto Sevilla,INTERNATIONAL,AAY,Sevilla,España,http://example.org/a/b,aesevilla@gmail.com,+34603589521
airport-28,Aeropuerto Sevilla,INTERNATIONAL,AAZ,Sevilla,España,http://example.org/a/b?,aesevilla@gmail.com,+34603589521
airport-29,Aeropuerto Sevilla,INTERNATIONAL,ABA,Sevilla,España,http://example.org/a/b?a&b,aesevilla@gmail.com,+34603589521

#email
airport-30,Aeropuerto Sevilla,REGIONAL,ABB,Sevilla,España,https://aeropuertosevilla.acme.com,acme@lorem-ipsum.org,+34603589521
airport-31,Aeropuerto Sevilla,REGIONAL,ABC,Sevilla,España,https://aeropuertosevilla.acme.com,a@b.e,+34603589521
airport-32,Aeropuerto Sevilla,REGIONAL,ABD,Sevilla,España,https://aeropuertosevilla.acme.com,a@b.es,+34603589521
airport-33,Aeropuerto Sevilla,REGIONAL,ABE,Sevilla,España,https://aeropuertosevilla.acme.com,a@b.esx,+34603589521
airport-34,Aeropuerto Sevilla,REGIONAL,ABF,Sevilla,España,https://aeropuertosevilla.acme.com,lorem-ipsum@dolor.sit.amet.consectetur.adipiscing.elit.sed.do.eiusmod.tempor.incididunt.ut.labore.et.dolore.magna.aliqua.Ut.enim.ad.minim.veniam.quis.nostrud.exercitation.ullamco.laboris.nisi.ut.aliquip.ex.ea.commodo.consequat.duis.aute.irure.doloris.edu,+34603589521
airport-35,Aeropuerto Sevilla,REGIONAL,ABG,Sevilla,España,https://aeropuertosevilla.acme.com,a@b.esx,+34603589521

#phoneNumber
airport-36,Aeropuerto Sevilla,REGIONAL,ABH,Sevilla,España,https://aeropuertosevilla.acme.com,a@b.e,+34603589521025
airport-37,Aeropuerto Sevilla,REGIONAL,ACC,Sevilla,España,https://aeropuertosevilla.acme.com,a@b.e,+346035895214521
airport-38,Aeropuerto Sevilla,REGIONAL,AFC,Sevilla,España,https://aeropuertosevilla.acme.com,a@b.e,+3460358
airport-39,Aeropuerto Sevilla,REGIONAL,AGR,Sevilla,España,https://aeropuertosevilla.acme.com,a@b.e,603502457




